lat,lon,bearing,depth
35.7138215,-82.7346931,152.114,18.5
35.7137581,-82.7346679,142.358,15.6
35.7136764,-82.7346359,132.480,12.7
35.7136139,-82.7346116,112.845,9.24
35.7135513,-82.7345878,90.803,0
