lat,lon,bearing,depth
35.7138215,-82.7346931,142.114,18.5
35.7137581,-82.7346679,122.358,15.6
35.7136764,-82.7346359,102.480,12.7
35.7136139,-82.7346116,72.845,9.24
35.7135513,-82.7345878,52.803,0
